select,attr_name,description
1,cmi_ix_s06,sub-basin average June climate moisture index (index value)
1,cmi_ix_s07,sub-basin average July climate moisture index (index value)
1,cmi_ix_s08,sub-basin average August climate moisture index (index value)
1,cmi_ix_s09,sub-basin average September climate moisture index (index value)
1,cmi_ix_s10,sub-basin average October climate moisture index (index value)
1,cmi_ix_s11,sub-basin average November climate moisture index (index value)
1,cmi_ix_s12,sub-basin average December climate moisture index (index value)
1,snw_pc_syr,sub-basin annual average snow cover extent (percent)
1,snw_pc_uyr,total watershed annual average snow cover extent (percent)
1,snw_pc_smx,sub-basin annual maximum snow cover extent (percent)
1,snw_pc_s01,sub-basin average January snow cover extent (percent)
1,snw_pc_s02,sub-basin average February snow cover extent (percent)
1,snw_pc_s03,sub-basin average March snow cover extent (percent)
1,snw_pc_s04,sub-basin average April snow cover extent (percent)
1,snw_pc_s05,sub-basin average May snow cover extent (percent)
1,snw_pc_s06,sub-basin average June snow cover extent (percent)
1,snw_pc_s07,sub-basin average July snow cover extent (percent)
1,snw_pc_s08,sub-basin average August snow cover extent (percent)
1,snw_pc_s09,sub-basin average September snow cover extent (percent)
1,snw_pc_s10,sub-basin average October snow cover extent (percent)
1,snw_pc_s11,sub-basin average November snow cover extent (percent)
1,snw_pc_s12,sub-basin average December snow cover extent (percent)
1,glc_cl_smj,sub-basin spatial majority land cover classes (classes 22)
1,glc_pc_s01,sub-basin percentage of forest land cover class 1 (broadleaf evergreen forest)
1,glc_pc_s02,sub-basin percentage of forest land cover class 2 (needleleaf evergreen forest)
1,glc_pc_s03,sub-basin percentage of forest land cover class 3 (broadleaf deciduous forest)
1,glc_pc_s04,sub-basin percentage of forest land cover class 4 (needleleaf deciduous forest)
1,glc_pc_s05,sub-basin percentage of forest land cover class 5 (mixed forest)
1,glc_pc_s06,sub-basin percentage of forest land cover class 6 (shrubland)
1,glc_pc_s07,sub-basin percentage of forest land cover class 7 (grassland)
1,glc_pc_s08,sub-basin percentage of forest land cover class 8 (wetland)
1,glc_pc_s09,sub-basin percentage of forest land cover class 9 (tundra)
1,glc_pc_s10,sub-basin percentage of forest land cover class 10 (desert)
1,glc_pc_s11,sub-basin percentage of forest land cover class 11 (urban)
1,glc_pc_s12,sub-basin percentage of forest land cover class 12 (water)
1,glc_pc_s13,sub-basin percentage of forest land cover class 13 (ice)
1,glc_pc_s14,sub-basin percentage of forest land cover class 14 (bare soil)
1,glc_pc_s15,sub-basin percentage of forest land cover class 15 (agricultural)
1,glc_pc_s16,sub-basin percentage of forest land cover class 16 (plantation)
1,glc_pc_s17,sub-basin percentage of forest land cover class 17 (mangrove)
1,glc_pc_s18,sub-basin percentage of forest land cover class 18 (bamboo)
1,glc_pc_s19,sub-basin percentage of forest land cover class 19 (savanna)
1,glc_pc_s20,sub-basin percentage of forest land cover class 20 (tropical rainforest)
1,glc_pc_s21,sub-basin percentage of forest land cover class 21 (temperate rainforest)
1,glc_pc_s22,sub-basin percentage of forest land cover class 22 (unknown)
1,glc_pc_u01,total watershed percentage of forest land cover class 1 (broadleaf evergreen forest)
1,glc_pc_u02,total watershed percentage of forest land cover class 2 (needleleaf evergreen forest)
1,glc_pc_u03,total watershed percentage of forest land cover class 3 (broadleaf deciduous forest)
1,glc_pc_u04,total watershed percentage of forest land cover class 4 (needleleaf deciduous forest)
1,glc_pc_u05,total watershed percentage of forest land cover class 5 (mixed forest)
1,glc_pc_u06,total watershed percentage of forest land cover class 6 (shrubland)
1,glc_pc_u07,total watershed percentage of forest land cover class 7 (grassland)
1,glc_pc_u08,total watershed percentage of forest land cover class 8 (wetland)
1,glc_pc_u09,total watershed percentage of forest land cover class 9 (tundra)
1,glc_pc_u10,total watershed percentage of forest land cover class 10 (desert)
1,glc_pc_u11,total watershed percentage of forest land cover class 11 (urban)
1,glc_pc_u12,total watershed percentage of forest land cover class 12 (water)
1,glc_pc_u13,total watershed percentage of forest land cover class 13 (ice)
1,glc_pc_u14,total watershed percentage of forest land cover class 14 (bare soil)
1,glc_pc_u15,total watershed percentage of forest land cover class 15 (agricultural)
1,glc_pc_u16,total watershed percentage of forest land cover class 16 (plantation)
1,glc_pc_u17,total watershed percentage of forest land cover class 17 (mangrove)
1,glc_pc_u18,total watershed percentage of forest land cover class 18 (bamboo)
1,glc_pc_u19,total watershed percentage of forest land cover class 19 (savanna)
1,glc_pc_u20,total watershed percentage of forest land cover class 20 (tropical rainforest)
1,glc_pc_u21,total watershed percentage of forest land cover class 21 (temperate rainforest)
1,glc_pc_u22,total watershed percentage of forest land cover class 22 (unknown)
1,pnv_cl_smj,sub-basin potential natural vegetation spatial majority classes (classes 15)
1,pnv_pc_s01,sub-basin percentage of potential natural vegetation class 1 (broadleaf evergreen forest)
1,pnv_pc_s02,sub-basin percentage of potential natural vegetation class 2 (needleleaf evergreen forest)
1,pnv_pc_s03,sub-basin percentage of potential natural vegetation class 3 (broadleaf deciduous forest)
1,pnv_pc_s04,sub-basin percentage of potential natural vegetation class 4 (needleleaf deciduous forest)
1,pnv_pc_s05,sub-basin percentage of potential natural vegetation class 5 (mixed forest)
1,pnv_pc_s06,sub-basin percentage of potential natural vegetation class 6 (shrubland)
1,pnv_pc_s07,sub-basin percentage of potential natural vegetation class 7 (grassland)
1,pnv_pc_s08,sub-basin percentage of potential natural vegetation class 8 (wetland)
1,pnv_pc_s09,sub-basin percentage of potential natural vegetation class 9 (tundra)
1,pnv_pc_s10,sub-basin percentage of potential natural vegetation class 10 (desert)
1,pnv_pc_s11,sub-basin percentage of potential natural vegetation class 11 (urban)
1,pnv_pc_s12,sub-basin percentage of potential natural vegetation class 12 (water)
1,pnv_pc_s13,sub-basin percentage of potential natural vegetation class 13 (ice)
1,pnv_pc_s14,sub-basin percentage of potential natural vegetation class 14 (bare soil)
1,pnv_pc_s15,sub-basin percentage of potential natural vegetation class 15 (agricultural)
1,pnv_pc_u01,total watershed percentage of potential natural vegetation class 1 (broadleaf evergreen forest)
1,pnv_pc_u02,total watershed percentage of potential natural vegetation class 2 (needleleaf evergreen forest)
1,pnv_pc_u03,total watershed percentage of potential natural vegetation class 3 (broadleaf deciduous forest)
1,pnv_pc_u04,total watershed percentage of potential natural vegetation class 4 (needleleaf deciduous forest)
1,pnv_pc_u05,total watershed percentage of potential natural vegetation class 5 (mixed forest)
1,pnv_pc_u06,total watershed percentage of potential natural vegetation class 6 (shrubland)
1,pnv_pc_u07,total watershed percentage of potential natural vegetation class 7 (grassland)
1,pnv_pc_u08,total watershed percentage of potential natural vegetation class 8 (wetland)
1,pnv_pc_u09,total watershed percentage of potential natural vegetation class 9 (tundra)
1,pnv_pc_u10,total watershed percentage of potential natural vegetation class 10 (desert)
1,pnv_pc_u11,total watershed percentage of potential natural vegetation class 11 (urban)
1,pnv_pc_u12,total watershed percentage of potential natural vegetation class 12 (water)
1,pnv_pc_u13,total watershed percentage of potential natural vegetation class 13 (ice)
1,pnv_pc_u14,total watershed percentage of potential natural vegetation class 14 (bare soil)
1,pnv_pc_u15,total watershed percentage of potential natural vegetation class 15 (agricultural)
1,wet_cl_smj,sub-basin spatial majority wetland classes (classes 12)
1,wet_pc_sg1,sub-basin percentage of wetland cover for class group 1
1,wet_pc_ug1,total watershed percentage of wetland cover for class group 1
1,wet_pc_sg2,sub-basin percentage of wetland cover for class group 2
1,wet_pc_ug2,total watershed percentage of wetland cover for class group 2
1,wet_pc_s01,sub-basin percentage of wetland cover for class group 1
1,wet_pc_s02,sub-basin percentage of wetland cover for class group 2
1,wet_pc_s03,sub-basin percentage of wetland cover for class group 3
1,wet_pc_s04,sub-basin percentage of wetland cover for class group 4
1,wet_pc_s05,sub-basin percentage of wetland cover for class group 5
1,wet_pc_s06,sub-basin percentage of wetland cover for class group 6
1,wet_pc_s07,sub-basin percentage of wetland cover for class group 7
1,wet_pc_s08,sub-basin percentage of wetland cover for class group 8
1,wet_pc_s09,sub-basin percentage of wetland cover for class group 9
1,wet_pc_u01,total watershed percentage of wetland cover for class group 1
1,wet_pc_u02,total watershed percentage of wetland cover for class group 2
1,wet_pc_u03,total watershed percentage of wetland cover for class group 3
1,wet_pc_u04,total watershed percentage of wetland cover for class group 4
1,wet_pc_u05,total watershed percentage of wetland cover for class group 5
1,wet_pc_u06,total watershed percentage of wetland cover for class group 6
1,wet_pc_u07,total watershed percentage of wetland cover for class group 7
1,wet_pc_u08,total watershed percentage of wetland cover for class group 8
1,wet_pc_u09,total watershed percentage of wetland cover for class group 9
1,for_pc_sse,sub-basin forest cover extent (percentage)
1,for_pc_use,total watershed forest cover extent (percentage)
1,crp_pc_sse,sub-basin crop cover extent (percentage)
1,crp_pc_use,total watershed crop cover extent (percentage)
1,pst_pc_sse,sub-basin pasture cover extent (percentage)
1,pst_pc_use,total watershed pasture cover extent (percentage)
1,ire_pc_sse,sub-basin irrigated area extent (percentage)
1,ire_pc_use,total watershed irrigated area extent (percentage)
1,gla_pc_sse,sub-basin glacier cover (percentage)
1,gla_pc_use,total watershed glacier cover (percentage)
1,prm_pc_sse,sub-basin permafrost cover (percentage)
1,prm_pc_use,total watershed permafrost cover (percentage)
1,pac_pc_sse,sub-basin protected area cover (percentage)
1,pac_pc_use,total watershed protected area cover (percentage)
1,tbi_cl_smj,sub-basin terrestrial biome spatial majority classes (classes 14)
1,tec_cl_smj,sub-basin terrestrial ecoregion spatial majority classes (classes 14)
1,fmh_cl_smj,sub-basin spatial majority of freshwater major habitat classes (classes 13)
1,fec_cl_smj,sub-basin spatial majority of freshwater ecoregions (classes 426)
1,cly_pc_sav,sub-basin average clay content (percentage)
1,cly_pc_uav,total watershed average clay content (percentage)
1,slt_pc_sav,sub-basin average silt content (percentage)
1,slt_pc_uav,total watershed average silt content (percentage)
1,snd_pc_sav,sub-basin average sand content (percentage)
1,snd_pc_uav,total watershed average sand content (percentage)
1,soc_th_sav,sub-basin average soil organic carbon (percentage)
1,soc_th_uav,total watershed average soil organic carbon (percentage)
1,swc_pc_syr,sub-basin average soil water content (percentage)
1,swc_pc_uyr,total watershed average soil water content (percentage)
1,swc_pc_s01,sub-basin soil water content for January (percentage)
1,swc_pc_s02,sub-basin soil water content for February (percentage)
1,swc_pc_s03,sub-basin soil water content for March (percentage)
1,swc_pc_s04,sub-basin soil water content for April (percentage)
1,swc_pc_s07,sub-basin soil water content for July (percentage)
1,swc_pc_s08,sub-basin soil water content for August (percentage)
1,swc_pc_s09,sub-basin soil water content for September (percentage)
1,swc_pc_s10,sub-basin soil water content for October (percentage)
1,swc_pc_s11,sub-basin soil water content for November (percentage)
1,swc_pc_s12,sub-basin soil water content for December (percentage)
1,lit_cl_smj,sub-basin spatial majority lithology classes (classes 16)
1,kar_pc_sse,sub-basin spatial extent of karst cover (percentage)
1,kar_pc_use,total watershed spatial extent of karst cover (percentage)
1,ero_kh_sav,sub-basin soil erosion (kg/hectare/yr)
1,ero_kh_uav,total watershed soil erosion (kg/hectare/yr)
1,pop_ct_ssu,sub-basin population count (count thousands)
1,pop_ct_usu,total watershed population count (count thousands)
1,ppd_pk_sav,sub-basin population density (people/km2)
1,ppd_pk_uav,total watershed population density (people/km2)
1,urb_pc_sse,sub-basin urban cover (percentage)
1,urb_pc_use,total watershed urban cover (percentage)
1,nli_ix_sav,sub-basin average nighttime lights index (index value)
1,nli_ix_uav,total watershed average nighttime lights index (index value)
1,rdd_mk_sav,sub-basin road density (m/km2)
1,rdd_mk_uav,total watershed road density (m/km2)
1,hft_ix_s93,sub-basin human footprint index for 1993 (index value)
1,hft_ix_u93,total watershed human footprint index for 2009 (index value)
1,hft_ix_s09,sub-basin human footprint index for 2009 (index value)
1,hft_ix_u09,total watershed human footprint index for 2009 (index value)
1,gad_id_smj,sub-basin administrative unit spatial majority (ID number)
1,gdp_ud_sav,sub-basin average gross domestic product (USD)
1,gdp_ud_ssu,sub-basin total gross domestic product (USD)
1,gdp_ud_usu,total watershed gross domestic product (USD)
1,hdi_ix_sav,sub-basin human development index (index value)
